movie_id,title,movie_rating,release_date,runtime,metascore,imdb_rating
0,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006-07-07,151,53.0,7.3
1,Night at the Museum,PG,2006-12-22,108,48.0,6.4
2,Cars,G,2006-06-09,117,73.0,7.1
3,X-Men: The Last Stand,PG-13,2006-05-26,104,58.0,6.7
4,The Da Vinci Code,PG-13,2006-05-19,149,46.0,6.6
5,Superman Returns,PG-13,2006-06-28,154,72.0,6.0
6,Happy Feet,PG,2006-11-17,108,77.0,6.4
7,Ice Age: The Meltdown,PG,2006-03-31,91,60.0,6.8
8,Casino Royale,PG-13,2006-11-17,144,80.0,8.0
9,The Pursuit of Happyness,PG-13,2006-12-15,117,64.0,8.0
10,Over the Hedge,PG,2006-05-19,83,67.0,6.7
11,Talladega Nights: The Ballad of Ricky Bobby,PG-13,2006-08-04,108,66.0,6.6
12,Click,PG-13,2006-06-23,107,45.0,6.4
13,Mission: Impossible III,PG-13,2006-05-05,126,66.0,6.9
14,The Departed,R,2006-10-06,151,85.0,8.5
15,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,2006-11-03,84,89.0,7.3
16,The Devil Wears Prada,PG-13,2006-06-30,109,62.0,6.9
17,The Break-Up,PG-13,2006-06-02,106,45.0,5.8
18,Dreamgirls,PG-13,2006-12-25,130,76.0,6.5
19,Scary Movie 4,PG-13,2006-04-14,83,40.0,5.1
20,Failure to Launch,PG-13,2006-03-10,97,47.0,5.6
21,Inside Man,R,2006-03-24,129,76.0,7.6
22,Open Season,PG,2006-09-29,86,49.0,6.1
23,The Santa Clause 3: The Escape Clause,G,2006-11-03,92,32.0,4.8
24,Charlotte's Web,G,2006-12-15,97,68.0,6.3
25,The Pink Panther,PG,2006-02-10,93,38.0,5.7
26,Eight Below,PG,2006-02-17,120,64.0,7.3
27,Saw III,R,2006-10-27,108,48.0,6.2
28,Nacho Libre,PG,2006-06-16,92,52.0,5.8
29,"You, Me and Dupree",PG-13,2006-07-14,110,46.0,5.6
30,Eragon,PG,2006-12-15,104,38.0,5.1
31,Monster House,PG,2006-07-21,91,68.0,6.6
32,Jackass Number Two,R,2006-09-22,92,66.0,7.0
34,V for Vendetta,R,2006-03-17,132,62.0,8.1
35,World Trade Center,PG-13,2006-08-09,129,66.0,5.9
36,Rocky Balboa,PG,2006-12-20,102,63.0,7.1
37,Big Momma's House 2,PG-13,2006-01-27,99,34.0,4.8
38,Step Up,PG-13,2006-08-11,104,48.0,6.5
39,Flushed Away,PG,2006-11-03,85,74.0,6.6
41,Miami Vice,R,2006-07-28,132,65.0,6.0
42,The Holiday,PG-13,2006-12-08,136,52.0,6.9
43,Madea's Family Reunion,PG-13,2006-02-24,107,45.0,5.3
